query,page,impressions,clicks,ctr,position
startup workspace for founders,https://dowhiz.com/blog/startup-workspace-for-founders-product-update/,180,18,0.1000,3.2
ai chief of staff for founders,https://dowhiz.com/blog/startup-workspace-for-founders-product-update/,120,6,0.0500,14.1
startup operating system for founders,https://dowhiz.com/blog/startup-workspace-for-founders-product-update/,90,2,0.0222,18.6
ai workflow automation,https://dowhiz.com/solutions/ai-workflow-automation/,480,32,0.0667,8.4
ai workflow automation checklist,https://dowhiz.com/blog/ai-workflow-automation-checklist/,150,5,0.0333,15.4
email task automation,https://dowhiz.com/solutions/email-task-automation/,390,30,0.0769,6.2
email task automation,https://dowhiz.com/blog/email-task-automation-playbook/,140,4,0.0286,18.9
slack task automation,https://dowhiz.com/solutions/slack-task-automation/,290,17,0.0586,9.7
github issue automation,https://dowhiz.com/solutions/github-issue-automation/,360,25,0.0694,7.8
google docs automation,https://dowhiz.com/solutions/google-docs-automation/,410,16,0.0390,10.3
google docs automation for meeting follow-ups,https://dowhiz.com/blog/google-docs-automation-for-meeting-followups/,210,8,0.0381,11.8
digital employee onboarding checklist,https://dowhiz.com/blog/digital-employee-onboarding-checklist/,160,7,0.0438,12.8
ai agent memory best practices,https://dowhiz.com/blog/ai-agent-memory-best-practices/,210,9,0.0429,11.6
ai employee trust safety governance,https://dowhiz.com/blog/ai-employee-trust-safety-governance/,130,3,0.0231,17.4
